Organization 1,Organization 2,Distance
O91918,O42430,65
O86919,O88044,44
O9416,O44715,83
O84077,O35531,76
O83758,O78869,16
O81170,O97522,93
O168,O40018,93
O4954,O68431,72
O27306,O78147,50
O88072,O81219,80
O13724,O2558,10
O87523,O88008,7
O89583,O49020,11
O77194,O33045,53
O91394,O86527,1
O4858,O62068,61
O86140,O15490,75
O62836,O95090,7
O56824,O58299,44
O78494,O19829,1
O18652,O85745,67
O52851,O51895,89
O36814,O72133,33
O96822,O65312,46
O81187,O17540,83
O86639,O34802,11
O38845,O39365,23
O42219,O5330,55
O70589,O30664,41
O90813,O58783,77
O29734,O78790,33
O97501,O73493,4
O76278,O61215,13
O86661,O55159,67
O96590,O68560,77
O85767,O91613,21
O42479,O10043,21
O64384,O49846,1
O37580,O61368,66
O37715,O95731,27
O30773,O49248,50
O57539,O91748,54
O81290,O45814,97
O19953,O63700,86
O11622,O90819,84
O70159,O21274,67
O4183,O33906,57
O4506,O9573,12
O60904,O8139,78
O86994,O45925,69
O28394,O67778,47
O27745,O1965,68
O97230,O61085,58
O37364,O54101,10
O21196,O41987,31
O29368,O55578,75
O29833,O76680,77
O34213,O21387,11
O22552,O63736,29
O62233,O73562,65
O89877,O64424,26
O6708,O37276,100
O65729,O861,83
O42547,O87483,73
O50328,O19323,90
O91339,O29815,92
O57012,O61682,42
O77676,O51361,55
O4410,O52499,97
O78066,O85689,85
O23242,O20875,95
O85299,O52003,33
O98206,O57437,55
O17607,O8329,40
O8445,O31429,10
O51945,O55920,41
O32915,O14126,89
O38976,O80769,55
O9292,O4647,81
O40598,O78697,10
O63412,O87657,32
O99297,O91866,53
O60808,O81578,37
O1915,O97762,11
O4898,O24163,33
O42930,O24670,2
O5679,O36336,15
O91627,O99000,18
O54280,O43765,67
O2622,O73367,61
O25277,O69226,73
O36478,O10395,90
O46474,O19192,24
O20477,O6772,71
O39981,O83187,11
O37466,O95918,68
O86665,O13593,94
O16497,O4955,16
O39981,O67209,39
O55504,O5473,87
O19825,O20049,17
O50009,O14083,60
O37352,O57016,95
O13086,O66147,30
O92625,O98047,87
O76196,O49762,73
O65511,O24926,24
O90988,O47242,36
O76935,O31915,84
O25667,O84859,84
O55536,O34486,58
O72046,O37245,8
O56289,O18462,54
O54613,O17740,55
O96986,O37236,85
O44460,O21948,55
O15893,O53600,29
O99581,O4797,18
O55637,O70700,12
O63522,O88414,9
O50470,O25469,1
O25685,O58864,84
O85146,O52111,59
O9632,O17845,71
O35374,O96976,63
O89282,O25996,86
O58829,O31610,91
O94481,O23753,5
O59928,O73793,28
O19120,O52947,51
O39356,O87199,62
O13078,O30562,4
O72118,O83780,26
O74511,O81707,76
O55522,O35737,97
O29430,O48479,49
O79181,O62629,17
O67942,O66924,35
O16272,O49417,37
O10802,O45379,47
O84317,O53486,74
O27608,O81009,46
O88743,O27716,75
O96742,O60068,7
O91268,O44051,55
O69962,O37815,8
O93041,O15833,68
O44321,O45330,30
O77467,O37316,11
O99556,O51817,66
O33340,O59099,94
O27162,O46519,30
O98951,O52004,89
O29459,O67775,49
O83623,O23329,28
O45031,O92671,36
O95728,O12233,69
O75108,O16011,86
O96345,O73799,61
O92504,O61078,66
O21059,O91905,42
O14307,O28485,17
O43372,O21315,82
O97898,O76304,40
O23849,O39655,69
O55972,O6259,36
O82745,O5002,74
O7067,O69697,18
O28589,O3825,59
O84161,O25573,28
O72428,O52429,10
O50203,O5108,11
O17192,O68653,80
O24565,O58736,29
O56514,O95869,3
O33447,O15777,53
O43009,O33572,44
O46594,O68425,39
O49756,O43831,29
O87533,O34181,81
O43962,O2501,86
O57487,O89395,50
O46564,O13713,52
O34147,O79,8
O53593,O59849,89
O58637,O96941,47
O85252,O24477,58
O73349,O60601,3
O59502,O34946,28
O80956,O50060,37
O43302,O8971,17
O57167,O94638,15
O87607,O96322,3
O83664,O33824,44
O61205,O9485,63
O65205,O18229,44
O99918,O38190,10
O13467,O32892,95
O6243,O33633,79
O29485,O60386,96
O98548,O85905,2
O43222,O1911,15
O26693,O7105,6
O67885,O65313,57
O36866,O3673,81
O69358,O40407,82
O80005,O54969,61
O67340,O65938,50
O26899,O22596,49
O43732,O92201,47
O49920,O68049,13
O53229,O69238,3
O23854,O69052,46
O73482,O18078,42
O4543,O51215,78
O43005,O47515,9
O48811,O39242,51
O4732,O22147,60
O13310,O75725,83
O46270,O7952,39
O79955,O45068,10
O2453,O58136,20
O69246,O66439,69
O34799,O25499,39
O39745,O63979,59
O20318,O79986,93
O68235,O37246,5
O6119,O13841,28
O35551,O47446,79
O91877,O12677,35
O77886,O50055,65
O74547,O32879,61
O22488,O18924,79
O21018,O9387,98
O7365,O27028,47
O35066,O69516,84
O39314,O92360,80
O72263,O42485,99
O95628,O52971,29
O76947,O29646,98
O20003,O51235,28
O99633,O26039,54
O39433,O81817,28
O41755,O8503,29
O75854,O42708,60
O23164,O45308,97
O94825,O41425,15
O49509,O1871,37
O39753,O12403,64
O10036,O16054,64
O97939,O66191,63
O45179,O90449,18
O76034,O79974,1
O41897,O63348,58
O46646,O55870,8
O26056,O1982,75
O98792,O99298,25
O40740,O96632,1
O98521,O5862,51
O68931,O88814,96
O27982,O71636,23
O92079,O96095,11
O73026,O53625,15
O9932,O35254,16
O93281,O95771,54
O18015,O89871,92
O26723,O54381,94
O9009,O38922,47
O9856,O57389,69
O99587,O757,57
O9453,O18696,74
O63820,O15576,9
O82055,O55563,45
O8052,O22255,14
O3456,O27872,22
O63344,O60763,36
O3733,O87708,46
O13713,O29114,52
O58275,O91433,60
O41370,O56455,44
O87766,O60318,2
O63256,O57890,20
O36931,O98223,4
O82342,O98756,15
O36892,O12410,75
O52898,O33452,32
O63774,O48295,14
O8205,O73634,69
O21777,O95456,76
O52773,O19632,93
O47796,O43966,88
O4776,O33341,24
O61234,O72087,1
O75696,O47311,72
O76264,O39248,56
O2416,O71238,38
O35645,O2561,72
O28700,O28171,14
O12839,O96235,62
O99919,O92461,98
O56566,O76892,14
O21482,O47850,28
O45639,O68005,16
O39016,O42894,25
O31853,O77077,89
O48202,O27797,89
O84143,O52350,52
O98403,O5034,64
O25066,O16237,6
O37581,O69596,17
O51363,O85606,45
O93758,O30216,38
O70055,O13544,34
O74363,O35013,39
O16222,O40196,68
O19136,O51391,34
O30171,O81256,46
O97322,O19466,39
O21893,O89409,21
O43866,O56691,31
O63072,O93002,30
O91660,O4705,86
O80682,O44957,27
O24716,O62919,22
O90957,O75694,31
O2665,O17846,17
O97637,O42860,83
O51612,O77007,11
O91857,O26361,38
O24515,O29886,72
O67064,O27360,17
O19876,O72478,1
O95657,O74988,41
O7410,O78288,96
O11238,O23055,27
O50818,O61110,71
O93317,O37925,81
O1609,O24708,23
O95968,O680,58
O30598,O94078,44
O31785,O7888,36
O50846,O54628,50
O38664,O40206,68
O59845,O87463,43
O76018,O42367,96
O35765,O10966,41
O7208,O31374,29
O53568,O12185,9
O4906,O54571,25
O29221,O8352,13
O76319,O92649,40
O55834,O86122,82
O82956,O80106,74
O67424,O14944,75
O22771,O43872,66
O95172,O30151,5
O81422,O29328,49
O22059,O5438,70
O77277,O8323,52
O51522,O35537,87
O87036,O94932,72
O3898,O42263,10
O57730,O27643,65
O93888,O6473,27
O4766,O50724,90
O46517,O58637,54
O93417,O58107,67
O66107,O20097,49
O11335,O18133,69
O28096,O29168,66
O56088,O15894,19
O63698,O39013,26
O34561,O62427,30
O21179,O16554,50
O60178,O57827,29
O91263,O31857,43
O61918,O8365,86
O25722,O2137,9
O74021,O51477,71
O41523,O26343,71
O33131,O56851,87
O99060,O55413,70
O55051,O70242,21
O56384,O97279,36
O85880,O43671,8
O72673,O86575,86
O26527,O67227,12
O52336,O82344,40
O95022,O5457,73
O40559,O25038,16
O68225,O60122,24
O20971,O64832,31
O38183,O72764,98
O34945,O90528,51
O41879,O95494,27
O11409,O16779,77
O44897,O57853,75
O79793,O10353,19
O21060,O84640,27
O45770,O82399,59
O68866,O84912,75
O50088,O39803,46
O26005,O70109,66
O87916,O31031,84
O75380,O27424,40
O23689,O65858,74
O30246,O74750,31
O71297,O42131,18
O17077,O52067,41
O32126,O78329,62
O67564,O40,93
O46246,O14364,28
O50660,O42527,38
O79175,O36740,40
O85615,O92121,5
O69722,O59780,64
O3119,O48361,63
O41808,O75767,54
O97812,O30946,73
O77709,O71350,46
O64726,O32460,96
O59404,O39139,85
O55888,O93489,62
O67136,O74377,54
O80526,O97745,11
O73044,O11113,2
O82135,O84822,99
O10313,O21698,15
O14764,O37544,56
O91160,O6051,68
O88390,O40798,67
O47060,O25478,38
O63599,O14352,22
O2589,O63035,99
O74292,O50045,83
O31485,O6307,99
O69051,O83665,39
O58012,O3340,47
O58879,O51681,50
O93343,O20379,59
O96203,O4581,19
O63781,O36217,26
O82363,O27284,50
O15243,O68989,44
O80515,O69489,61
O73098,O14991,23
O59525,O77059,22
O44483,O11127,8
O27258,O40539,92
O11088,O30627,95
O1969,O32036,72
O25101,O51299,43
O38004,O75893,82
O21921,O53065,23
O77667,O85716,2
O58090,O83727,92
O92407,O86748,3
O13479,O59160,81
O68050,O29315,87
O27731,O97590,54
O73888,O23985,6
O59304,O7599,14
O74351,O45867,91
O24033,O2317,10
O65423,O25733,10
O8597,O36883,82
O25281,O58721,35
O33443,O64683,15
O76909,O40450,83
O54245,O48217,7
O98363,O17840,59
O34223,O95512,55
O12797,O35618,22
O20487,O65366,30
O30468,O10182,14
O33782,O98582,61
O1520,O29014,5
O96900,O60727,63
O1844,O35268,18
O18736,O97955,6
O32606,O28947,90
O30519,O48170,90
O75801,O33566,83
O57345,O21484,3
O34917,O15805,31
O23861,O52697,4
O16521,O35845,47
O11159,O3455,17
O3225,O86907,91
O69218,O29500,32
O37768,O7242,3
O72985,O33570,11
O11268,O50770,56
O81197,O53213,30
O76715,O35251,45
O17449,O80053,40
O39648,O78817,80
O2910,O94766,45
O97571,O99849,55
O29864,O71281,50
O72034,O40788,99
O23554,O74393,85
O77893,O39883,42
O14895,O41671,99
O63404,O14986,90
O6084,O98706,33
O90370,O43546,73
O86788,O12931,15
O33806,O76778,25
O90706,O12126,38
O16786,O3391,91
O94244,O26492,100
O46882,O57905,24
O60038,O91112,88
O71942,O53618,49
O18340,O89647,47
O74697,O69872,1
O7994,O42322,74
O69309,O21318,20
O76068,O98134,65
O54766,O65240,42
O52130,O88064,72
O52851,O71896,8
O13081,O52929,82
O72268,O64067,49
O37892,O31812,47
O61863,O29829,83
O36361,O10971,10
O7183,O78240,10
O23373,O99454,75
O69892,O70650,87
O32435,O2064,43
O4146,O3637,7
O33442,O65744,42
O71822,O27531,91
O77175,O78561,24
O71855,O75792,88
O58403,O83749,12
O52479,O11746,1
O35327,O10762,14
O51659,O99144,57
O76344,O42388,15
O27445,O21621,68
O36756,O32850,84
O2912,O705,67
O32480,O54837,39
O70652,O6364,37
O61786,O39,91
O21785,O97967,90
O41980,O41979,29
O65253,O54733,95
O86806,O25981,74
O85475,O67264,92
O97523,O69569,6
O41438,O18639,88
O83138,O20012,98
O34339,O20779,31
O20942,O83518,68
O36760,O48838,1
O62066,O69848,75
O59221,O2415,60
O43267,O37072,11
O73372,O39344,44
O75428,O48144,53
O86609,O25389,14
O56732,O76937,63
O2990,O75996,16
O87695,O89517,100
O29803,O47963,58
O33359,O49264,83
O40328,O64267,45
O54200,O8048,40
O36099,O61335,13
O71633,O56758,14
O20125,O52860,90
O54466,O65791,62
O96000,O38439,91
O69623,O83027,61
O18791,O86218,14
O67093,O33319,29
O82249,O15406,8
O72807,O20215,2
O77271,O25675,36
O4751,O21411,1
O87190,O21015,60
O52068,O54522,91
O86482,O81718,31
O95724,O98272,27
O39395,O42212,57
O47409,O30084,67
O34902,O13361,68
O22056,O22374,52
O29017,O79267,78
O83277,O616,54
O17636,O82787,52
O40636,O95176,93
O6644,O73594,15
O50980,O89590,53
O86337,O87612,47
O25619,O64567,4
O58779,O48264,38
O64849,O82874,87
O83867,O66965,51
O64563,O35883,18
O45318,O67969,81
O23699,O14996,31
O89420,O70651,66
O63232,O3176,48
O27672,O84937,86
O45876,O36204,82
O85548,O66632,92
O20786,O58829,25
O76690,O50645,70
O81539,O45300,53
O78713,O6322,16
O47100,O37354,21
O7033,O57068,27
O55070,O3766,31
O69696,O99120,37
O92238,O92851,16
O64984,O77390,21
O73180,O37934,47
O43945,O40216,67
O93395,O55251,2
O17083,O45828,1
O74483,O7041,8
O81004,O61777,11
O10635,O65698,76
O90545,O51385,42
O4576,O79268,47
O90531,O95288,82
O7468,O18521,96
O52801,O75376,13
O45072,O64868,69
O50373,O54659,93
O52160,O62453,24
O5458,O64230,80
O73611,O96772,23
O67331,O64175,8
O66112,O28094,59
O89929,O41268,14
O55165,O28962,1
O55562,O39904,54
O34920,O5922,71
O7110,O34548,45
O93671,O73717,17
O9830,O49879,35
O40939,O70873,77
O46596,O25068,65
O74263,O69640,59
O38306,O11646,99
O32282,O43946,15
O90937,O1856,57
O389,O57670,20
O48654,O1300,45
O33743,O75157,84
O46723,O25696,87
O30011,O56219,72
O47150,O137,49
O50714,O5913,25
O46564,O57965,83
O43518,O26431,92
O97307,O35452,81
O80050,O87022,42
O43506,O29609,63
O31406,O62687,40
O60059,O95260,2
O92070,O33200,53
O29860,O30423,91
O3358,O19340,50
O40343,O29725,20
O61897,O60177,8
O43001,O36175,3
O10025,O78589,30
O83401,O3261,12
O12458,O46900,64
O67056,O46324,65
O16519,O81380,12
O89708,O52456,17
O33823,O47023,79
O64908,O79402,5
O83902,O91926,15
O95694,O50100,35
O85923,O70967,10
O592,O5405,15
O31813,O1934,28
O37143,O5566,53
O96508,O35584,79
O64774,O21276,33
O90721,O78889,54
O68291,O63630,86
O58347,O35889,16
O46852,O50630,68
O28599,O97131,90
O85824,O75463,10
O81272,O20933,100
O87590,O25271,64
O39371,O23440,93
O85778,O28414,90
O57908,O53570,57
O66538,O92164,32
O41160,O24835,32
O3007,O84343,71
O43339,O23784,10
O39536,O89710,23
O27245,O24156,77
O82368,O33617,73
O45697,O78676,76
O70621,O3995,87
O46514,O465,62
O98790,O88940,86
O55431,O20802,75
O57590,O50395,17
O57962,O19348,78
O27386,O20808,26
O92621,O96928,97
O71997,O21211,56
O61275,O5305,25
O51442,O6480,66
O57545,O37641,68
O98103,O65941,81
O79465,O20318,24
O94826,O46551,18
O16636,O61802,76
O43555,O69382,88
O62986,O22792,26
O17030,O81535,33
O3798,O40294,25
O49946,O50051,78
O76011,O64950,14
O34360,O83182,9
O1585,O53798,98
O88210,O28466,25
O34017,O9384,82
O70896,O2191,19
O58625,O19310,44
O5839,O15112,55
O16086,O49812,62
O57903,O67419,65
O82818,O9485,83
O15688,O88899,74
O47847,O76580,1
O23099,O32292,39
O41961,O69384,47
O58385,O41895,57
O47719,O91285,84
O48969,O92250,61
O74637,O40352,52
O36063,O35498,29
O68574,O62119,88
O24384,O28761,27
O45169,O21407,41
O4861,O18068,8
O42832,O24793,15
O69262,O90648,28
O90448,O65214,84
O7480,O64202,57
O71856,O22620,100
O18054,O90543,82
O59979,O51856,68
O94924,O94925,36
O30031,O94632,18
O11915,O85057,96
O22982,O3699,73
O54592,O78466,60
O60316,O60848,19
O71715,O46620,49
O62013,O72284,39
O61309,O11609,97
O24705,O52924,56
O15633,O91941,28
O21204,O52105,37
O15942,O57439,8
O78573,O72659,90
O29768,O53654,79
O8880,O61059,90
O54478,O8542,39
O32544,O39623,45
O72908,O18644,16
O18590,O30497,9
O6370,O44861,92
O8774,O92139,74
O3641,O61505,72
O77122,O63638,76
O63538,O36362,18
O11665,O15517,36
O64433,O15012,15
O67017,O74117,75
O49984,O51902,17
O97096,O2655,45
O51561,O924,31
O30443,O71391,58
O22336,O13679,85
O10579,O68251,29
O34455,O29260,14
O47673,O79223,66
O54058,O85622,42
O80535,O68129,73
O86571,O95821,35
O35953,O89483,43
O24032,O4465,85
O57842,O47155,81
O90652,O71382,85
O29694,O13206,19
O87362,O53618,97
O30187,O19559,25
O43244,O32053,38
O33629,O21570,69
O90462,O12571,27
O92954,O27557,76
O28694,O65171,91
O52638,O44880,11
O66683,O49254,8
O53883,O26877,26
O27336,O33011,72
O38919,O29771,65
O17532,O71664,5
O54768,O24932,34
O56720,O96836,66
O61350,O22879,43
O97900,O92145,21
O41137,O96030,79
O69468,O99023,16
O36765,O704,5
O91097,O87939,93
O43171,O97247,70
O64315,O83894,30
O5601,O5504,72
O45656,O70057,48
O63724,O57614,94
O82796,O16488,34
O16589,O7977,3
O20942,O19603,40
O21540,O94546,96
O9263,O59975,5
O81783,O34102,1
O67694,O8113,51
O79726,O13376,81
O95806,O32477,41
O91017,O39923,19
O66296,O73811,33
O11876,O91628,11
O35837,O2985,11
O14134,O53272,68
O68046,O17809,38
O7326,O80858,95
O19401,O42395,4
O11616,O50373,30
O36398,O10082,98
O64578,O22148,17
O67638,O26910,30
O94302,O32453,14
O96492,O39065,55
O5699,O59979,84
O12823,O41053,100
O16131,O54984,30
O41420,O31426,95
O26642,O69414,40
O73539,O2903,43
O85345,O88571,24
O16351,O44116,46
O34030,O7277,44
O59691,O72589,30
O65117,O58178,91
O17247,O88996,93
O12349,O24345,10
O41989,O70629,92
O59362,O81457,30
O76301,O84607,98
O98091,O77073,3
O21792,O26202,39
O94750,O27882,50
O73563,O28199,88
O98860,O90094,52
O57835,O60114,54
O85144,O34118,49
O95418,O15374,44
O59006,O81848,4
O60715,O21457,86
O46320,O18615,72
O67508,O10344,93
O92391,O89418,42
O42539,O24449,8
O83407,O9224,32
O6055,O68140,89
O25463,O69800,39
O86518,O36549,81
O54261,O5849,100
O53576,O44925,83
O92751,O50145,80
O11590,O98662,99
O64185,O69053,97
O8915,O86996,55
O51672,O84138,37
O75164,O42877,75
O7927,O19858,47
O1378,O19556,81
O17301,O17812,35
O64673,O94511,71
O64376,O68740,23
O81815,O86555,33
O29995,O14487,42
O42175,O3751,52
O72370,O39898,7
O44618,O65323,7
O6070,O67505,75
O13357,O3339,45
O57232,O6402,89
O1401,O47729,92
O45787,O2308,14
O8242,O8597,67
O2378,O32454,26
O4180,O92061,78
O98188,O43184,6
O18911,O3752,83
O94577,O43685,59
O62943,O3659,18
O17656,O29742,18
O46503,O65636,27
O61453,O95579,5
O96514,O41880,65
O31563,O28709,69
O33994,O8631,44
O92099,O19189,2
O76128,O51724,94
O57076,O77052,33
O46,O94670,3
O7670,O45278,98
O16114,O98214,82
O64199,O71150,41
O20375,O76636,51
O37157,O35691,90
O45911,O97850,1
O68515,O86928,25
O42264,O81316,30
O1431,O23946,82
O69414,O53229,80
O89530,O74805,19
O71052,O65819,43
O43853,O68838,61
O33835,O35839,83
O6599,O26285,45
O47525,O28835,31
O1630,O90645,97
O91052,O64225,81
O72084,O35165,37
O6959,O72227,74
O40417,O41762,69
O9787,O63073,23
O93899,O67485,67
O79272,O64101,20
O88017,O22838,73
O60297,O31492,46
O72453,O3198,54
O87064,O84861,63
O64565,O93316,27
O67425,O49457,67
O5032,O14025,56
O98994,O22750,86
O17532,O79953,23
O58751,O65739,57
O78718,O30337,90
O85902,O40417,39
O67250,O61414,42
O31511,O68581,30
O84256,O24614,73
O939,O23711,25
O90889,O27022,70
O3040,O14278,40
O83907,O35767,28
O17522,O51124,25
O7246,O11802,52
O17109,O60348,96
O26747,O74298,58
O5885,O29375,100
O77760,O30918,71
O18733,O83492,57
O88723,O36716,9
O41736,O64987,54
O68157,O74530,95
O48577,O44406,100
O52561,O63980,55
O56250,O9627,45
O87,O7265,16
O52298,O10724,24
O11234,O92284,26
O90303,O48976,15
O65970,O27640,20
O40198,O35775,52
O61211,O80383,39
O55203,O62803,91
O74726,O36149,26
O11324,O8830,13
O43349,O4339,87
O54472,O97815,14
O85636,O85360,54
O77259,O85360,23
O9303,O42015,13
O16670,O36785,22
O84281,O2590,50
O68509,O56458,18
O47690,O25899,40
O51136,O3338,34
O62251,O68176,100
O25046,O56496,78
O83860,O11949,30
O59091,O13989,17
O4537,O41336,45
O56280,O37361,59
O32228,O95702,67
O19590,O64821,40
O99033,O57172,52
O11857,O58065,43
O33248,O1826,85
O22880,O24372,66
O33726,O37560,49
O60753,O31157,17
O36829,O92576,8
O50352,O40291,34
O91879,O43030,38
O49372,O24501,29
O37557,O43144,92
O24648,O71584,83
O50301,O19460,27
O96278,O68040,61
O3048,O78974,87
O75353,O55747,98
O10274,O66753,57
O73331,O36562,20
O43868,O52600,60
O59803,O2606,66
O14315,O14401,4
O12420,O28746,98
O62272,O50842,28
O15338,O64933,2
O28287,O14864,68
O85131,O38057,19
O28738,O94067,50
O13465,O54871,18
O46966,O3959,71
O75343,O16551,32
O19056,O30008,62
O98042,O31418,85
O26899,O65316,19
O36501,O96400,43
O57755,O87060,89
O80391,O24605,26
O48603,O15715,62
O5869,O55062,30
O35596,O83830,30
O64469,O90882,57
O96296,O14332,26
O10864,O23934,8
O38619,O68014,65
O3502,O29504,81
O77052,O21795,89
O41753,O98731,67
O87273,O80809,99
O33558,O28460,9
O37573,O38821,51
O90840,O24816,17
O47661,O61115,4
O97805,O88733,64
O71676,O35138,81
O39570,O13789,57
O19490,O50224,98
O4378,O79233,80
O56886,O61166,12
O30869,O8665,54
O57149,O24866,2
O76465,O43183,15
O62506,O32426,83
O97873,O74216,35
O24970,O55892,40
O25153,O77103,78
O38569,O79544,8
O31007,O26770,37
O41538,O37171,83
O39647,O55930,35
O28177,O2013,59
O19093,O4807,49
O58855,O45912,75
O4499,O1580,17
O84939,O69967,9
O53931,O74447,51
O31391,O34526,85
O79400,O2912,15
O45579,O42463,82
O80965,O7467,23
O72167,O60785,96
O9538,O35149,23
O70621,O70019,28
O62820,O55312,93
O33325,O74524,73
O22989,O79361,82
O58819,O92441,57
O52947,O81696,53
O19939,O97060,25
O3984,O70534,14
O49671,O12890,17
O22172,O32600,33
O87240,O32928,49
O57047,O9395,47
O17630,O83227,25
O62497,O96959,19
O67292,O5263,85
O65070,O44935,19
O75415,O39147,54
O89041,O14861,51
O92073,O79796,27
O67860,O31375,54
O16829,O26796,92
O87236,O32780,97
O46905,O33373,57
O49338,O55310,33
O22087,O5208,86
O65003,O9290,2
O72505,O92373,43
O20443,O37237,79
O56444,O35053,86
O40893,O69509,39
O83626,O9252,89
O72217,O5993,96
O42580,O43797,4
O71241,O69447,42
O19497,O69902,23
O85428,O57718,49
O7572,O57899,11
O50610,O48319,32
O40110,O58618,10
O53537,O64373,93
O92154,O23271,40
O34847,O96834,90
O10765,O66535,56
O79667,O42244,49
O53877,O71507,66
O85399,O99334,81
O75287,O12776,60
O16145,O96561,28
O29709,O8320,94
O14866,O89907,87
O14849,O47624,43
O15086,O88191,57
O59630,O67943,45
O48860,O34648,46
O70556,O65346,52
O83119,O66995,37
O51542,O62214,9
O15967,O48936,46
O32266,O98955,67
O2787,O39679,56
O18641,O74043,40
O49963,O48431,94
O14832,O27009,55
O12695,O10105,27
O85319,O21119,26
O57360,O36990,37
O39043,O1805,11
O14882,O81626,49
O96389,O3446,3
O21044,O44498,91
O86368,O22046,57
O3614,O82348,70
O74460,O13137,8
O64156,O97883,95
O35037,O37601,66
O98959,O36143,34
O20168,O33442,14
O70722,O87776,15
O25789,O58677,34
O88397,O67107,82
O17801,O17238,72
O16496,O75385,89
O75554,O55107,86
O87949,O60323,66
O44273,O33302,98
O33544,O3810,100
O4107,O13782,80
O61470,O9016,54
O93501,O50534,45
O61582,O26568,25
O9435,O39174,92
O20263,O33230,14
O4056,O49410,87
O97754,O55682,99
O89913,O80257,57
O5844,O77586,24
O81141,O57952,62
O59401,O66325,57
O72741,O62084,36
O69249,O37256,11
O32225,O98474,84
O6121,O23898,68
O38065,O11739,6
O46126,O64728,49
O61161,O75995,10
O83869,O48421,68
O22637,O22913,83
O70069,O39825,39
O83708,O81526,60
O47513,O83087,52
O44758,O75283,81
O44645,O43517,50
O1517,O5292,46
O11627,O91547,3
O68843,O22754,62
O85760,O24149,19
O21995,O48200,63
O56304,O81063,73
O16577,O10254,42
O64003,O29823,63
O59132,O8255,46
O27488,O56178,63
O28031,O62574,69
O62557,O66836,79
O51683,O56335,37
O98804,O81128,13
O12205,O5425,57
O10414,O64836,48
O84363,O77314,6
O9387,O14066,52
O5667,O55465,7
O60528,O15574,29
O96932,O4117,24
O79631,O58510,6
O95916,O62084,39
O54565,O94932,100
O45474,O94755,6
O80680,O33140,10
O62895,O43043,79
O96054,O25358,18
O82143,O21426,25
O39086,O89364,89
O51643,O352,72
O37855,O20753,87
O8680,O63440,23
O11449,O37754,29
O60519,O16357,25
O99272,O10404,69
O76975,O84412,97
O2606,O84926,68
O80325,O8292,32
O68615,O12682,40
O99175,O70896,67
O53833,O37834,8
O36097,O40979,40
O54217,O29697,15
O17387,O56329,34
O65738,O53943,83
O78417,O36241,31
O44117,O51363,52
O61419,O85385,89
O73749,O61990,29
O34350,O95152,6
O4584,O45633,34
O17339,O70305,68
O77683,O79664,33
O10784,O23896,37
O26061,O47797,13
O39802,O4791,47
O44771,O61780,3
O35683,O83441,30
O20986,O81861,39
O1900,O77460,18
O82328,O39853,40
O11178,O14242,31
O26537,O69095,34
O1835,O15410,24
O20720,O99839,97
O19454,O90115,20
O28988,O61773,23
O4311,O35627,80
O26224,O78794,60
O63003,O94442,29
O19370,O50690,91
O15674,O84872,23
O50538,O74441,35
O18010,O80177,34
O37181,O18438,57
O76787,O29157,28
O90171,O23396,15
O78730,O95341,56
O34826,O97753,30
O11124,O89983,93
O859,O93242,24
O9031,O18329,79
O99892,O37314,39
O20049,O80520,10
O84238,O66191,6
O41005,O36148,22
O7642,O7481,23
O49052,O43336,95
O7985,O7035,78
O71695,O13693,15
O80162,O60592,20
O55381,O8754,16
O90606,O25933,10
O38367,O494,15
O69849,O42473,28
O52270,O55567,61
O66757,O6685,5
O69258,O14019,52
O86822,O327,20
O34076,O40128,40
O24323,O11097,87
O30379,O96205,57
O10586,O78751,81
O59882,O19661,20
O22407,O80372,91
O90724,O74738,21
O12391,O43216,92
O5381,O27878,88
O42263,O28544,85
O886,O74819,50
O36923,O58636,31
O75936,O32781,29
O98562,O34878,38
O36931,O33406,22
O30425,O36235,12
O28618,O1616,87
O77288,O87780,91
O7798,O46136,3
O14885,O66535,49
O64363,O43327,6
O84838,O63539,50
O4438,O31866,99
O54666,O17015,42
O62941,O70787,49
O99280,O33413,66
O8770,O28953,50
O95871,O52597,56
O2645,O95044,32
O47600,O21664,72
O11166,O93881,22
O80652,O35650,9
O77057,O80680,60
O7639,O99195,89
O59465,O64738,31
O95989,O34744,73
O88002,O63824,81
O79710,O37338,65
O855,O63752,10
O45065,O9978,90
O10585,O6811,72
O99763,O24206,66
O44080,O74180,94
O662,O73785,9
O97759,O77495,53
O66495,O73187,21
O36263,O38859,86
O78856,O59261,69
O94009,O7320,39
O89047,O96221,56
O43711,O55668,12
O91033,O81781,58
O51592,O2607,62
O24957,O82346,10
O36422,O47947,55
O65278,O52556,50
O38435,O27975,93
O81322,O59962,20
O45953,O89570,24
O2422,O74404,12
O55409,O3130,99
O27716,O34997,47
O55962,O2806,2
O64967,O1234,26
O5794,O6544,63
O30592,O31607,71
O85361,O7175,6
O56025,O52161,41
O25812,O78224,22
O91959,O77207,46
O66309,O91112,13
O56351,O31710,47
O34835,O15407,46
O93823,O91861,17
O15575,O33733,33
O87521,O81434,15
O74727,O62410,83
O29189,O47069,99
O47640,O80488,73
O38974,O70695,1
O13609,O30301,1
O21945,O42652,16
O62036,O34352,89
O47246,O55531,51
O47897,O33435,30
O50763,O66074,70
O22718,O28666,91
O55215,O16101,49
O41180,O57027,66
O6107,O45334,64
O71846,O30858,84
O24164,O82698,6
O23413,O97586,36
O57734,O65583,55
O59157,O32847,38
O99925,O26577,93
O66498,O20439,21
